"Breast Cancer"
"SEER Incidence Rates by Age at Diagnosis, 2013-2017"

Sex,Race/Ethnicity,"Rate Type",Age,"Rate per 100,000","Rate Standard Error","Rate Lower Confidence Interval","Rate Upper Confidence Interval"
Female,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted SEER Incidence Rate",35-39,42.6698,5.4233,32.7075,54.6489
Female,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted SEER Incidence Rate",40-44,79.0678,7.7601,64.5919,95.7464
Female,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted SEER Incidence Rate",45-49,110.7820,9.2081,93.4699,130.3059
Female,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted SEER Incidence Rate",50-54,132.7620,9.9039,114.0596,153.5942
Female,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted SEER Incidence Rate",55-59,184.5715,12.2328,161.3725,210.1038
Female,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted SEER Incidence Rate",60-64,275.2408,16.7043,243.4715,309.9208
Female,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted SEER Incidence Rate",65-69,286.4681,19.8314,248.9154,327.9749
Female,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted SEER Incidence Rate",70-74,321.4096,25.6742,273.0587,375.6734
Female,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted SEER Incidence Rate",75-79,317.9844,30.9090,260.2976,384.3847
Female,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted SEER Incidence Rate",80-84,283.4562,36.6218,216.2596,364.4309
Female,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted SEER Incidence Rate",85+,259.5937,36.0280,193.8283,339.9765
Female,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",<1,-,-,-,-
Female,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",1-4,-,-,-,-
Female,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",5-9,-,-,-,-
Female,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",10-14,-,-,-,-
Female,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",15-19,-,-,-,-
Female,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",20-24,1.0849,0.2262,0.6877,1.6278
Female,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",25-29,8.4349,0.5713,7.3523,9.6321
Female,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",30-34,26.1380,0.9922,24.2292,28.1571
Female,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",35-39,58.8381,1.5284,55.8802,61.9118
Female,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",40-44,129.6008,2.2885,125.1537,134.1655
Female,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",45-49,195.0353,2.9349,189.3249,200.8742
Female,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",50-54,215.6737,3.1841,209.4776,222.0065
Female,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",55-59,231.1181,3.4211,224.4610,237.9225
Female,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",60-64,279.7909,4.0355,271.9367,287.8143
Female,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",65-69,315.5921,4.7757,306.3006,325.0939
Female,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",70-74,326.5692,5.8428,315.2169,338.2259
Female,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",75-79,270.4051,6.1727,258.4408,282.7804
Female,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",80-84,231.8981,6.7139,218.9241,245.4402
Female,"Asian / Pacific Islander (includes Hispanic)","Observed SEER Incidence Rate",85+,181.9546,5.6750,171.0004,193.4265
Female,"Asian / Pacific Islander (includes Hispanic)","Delay-adjusted SEER Incidence Rate",<1,-,-,-,-
Female,"Asian / Pacific Islander (includes Hispanic)","Delay-adjusted SEER Incidence Rate",1-4,-,-,-,-
Female,"Asian / Pacific Islander (includes Hispanic)","Delay-adjusted SEER Incidence Rate",5-9,-,-,-,-
Female,"Asian / Pacific Islander (includes Hispanic)","Delay-adjusted SEER Incidence Rate",10-14,-,-,-,-
Female,"Asian / Pacific Islander (includes Hispanic)","Delay-adjusted SEER Incidence Rate",15-19,-,-,-,-
Female,"Asian / Pacific Islander (includes Hispanic)","Delay-adjusted SEER Incidence Rate",20-24,1.1191,0.2334,0.7093,1.6771
Female,"Asian / Pacific Islander (includes Hispanic)","Delay-adjusted SEER Incidence Rate",25-29,8.6760,0.5877,7.5623,9.9064
Female,"Asian / Pacific Islander (includes Hispanic)","Delay-adjusted SEER Incidence Rate",30-34,26.8878,1.0208,24.9240,28.9640
Female,"Asian / Pacific Islander (includes Hispanic)","Delay-adjusted SEER Incidence Rate",35-39,60.6075,1.5746,57.5602,63.7729
Female,"Asian / Pacific Islander (includes Hispanic)","Delay-adjusted SEER Incidence Rate",40-44,133.6787,2.3610,129.0910,138.3866
Female,"Asian / Pacific Islander (includes Hispanic)","Delay-adjusted SEER Incidence Rate",45-49,201.1685,3.0278,195.2774,207.1907
Female,"Asian / Pacific Islander (includes Hispanic)","Delay-adjusted SEER Incidence Rate",50-54,222.1225,3.2798,215.7402,228.6442
Female,"Asian / Pacific Islander (includes Hispanic)","Delay-adjusted SEER Incidence Rate",55-59,238.2116,3.5266,231.3491,245.2244
Female,"Asian / Pacific Islander (includes Hispanic)","Delay-adjusted SEER Incidence Rate",60-64,288.3285,4.1593,280.2335,296.5963
Female,"Asian / Pacific Islander (includes Hispanic)","Delay-adjusted SEER Incidence Rate",65-69,325.1808,4.9216,315.6054,334.9707
Female,"Asian / Pacific Islander (includes Hispanic)","Delay-adjusted SEER Incidence Rate",70-74,336.5564,6.0225,324.8549,348.5684
Female,"Asian / Pacific Islander (includes Hispanic)","Delay-adjusted SEER Incidence Rate",75-79,278.6294,6.3616,266.2991,291.3788
Female,"Asian / Pacific Islander (includes Hispanic)","Delay-adjusted SEER Incidence Rate",80-84,238.6764,6.9113,225.3210,252.6106
Female,"Asian / Pacific Islander (includes Hispanic)","Delay-adjusted SEER Incidence Rate",85+,186.9499,5.8316,175.6934,198.7332
Female,"Black (includes Hispanic)","Observed SEER Incidence Rate",<1,-,-,-,-
Female,"Black (includes Hispanic)","Observed SEER Incidence Rate",1-4,-,-,-,-
Female,"Black (includes Hispanic)","Observed SEER Incidence Rate",5-9,-,-,-,-
Female,"Black (includes Hispanic)","Observed SEER Incidence Rate",10-14,-,-,-,-
Female,"Black (includes Hispanic)","Observed SEER Incidence Rate",15-19,-,-,-,-
Female,"Black (includes Hispanic)","Observed SEER Incidence Rate",20-24,2.0396,0.2492,1.5807,2.5902
Female,"Black (includes Hispanic)","Observed SEER Incidence Rate",25-29,11.3702,0.6001,10.2243,12.6093
Female,"Black (includes Hispanic)","Observed SEER Incidence Rate",30-34,32.5257,1.0648,30.4719,34.6816
Female,"Black (includes Hispanic)","Observed SEER Incidence Rate",35-39,71.0038,1.6158,67.8719,74.2431
Female,"Black (includes Hispanic)","Observed SEER Incidence Rate",40-44,126.1163,2.1816,121.8763,130.4660
Female,"Black (includes Hispanic)","Observed SEER Incidence Rate",45-49,181.7902,2.5833,176.7618,186.9254
Female,"Black (includes Hispanic)","Observed SEER Incidence Rate",50-54,232.1336,2.8906,226.5023,237.8696
Female,"Black (includes Hispanic)","Observed SEER Incidence Rate",55-59,276.6283,3.2839,270.2290,283.1409
Female,"Black (includes Hispanic)","Observed SEER Incidence Rate",60-64,334.0712,3.9810,326.3136,341.9666
Female,"Black (includes Hispanic)","Observed SEER Incidence Rate",65-69,402.0988,4.9623,392.4310,411.9446
Female,"Black (includes Hispanic)","Observed SEER Incidence Rate",70-74,428.0696,6.1159,416.1656,440.2277
Female,"Black (includes Hispanic)","Observed SEER Incidence Rate",75-79,439.5511,7.3167,425.3263,454.1303
Female,"Black (includes Hispanic)","Observed SEER Incidence Rate",80-84,393.3978,8.3232,377.2521,410.0569
Female,"Black (includes Hispanic)","Observed SEER Incidence Rate",85+,338.0674,7.4126,323.6934,352.9152
Female,"Black (includes Hispanic)","Delay-adjusted SEER Incidence Rate",<1,-,-,-,-
Female,"Black (includes Hispanic)","Delay-adjusted SEER Incidence Rate",1-4,-,-,-,-
Female,"Black (includes Hispanic)","Delay-adjusted SEER Incidence Rate",5-9,-,-,-,-
Female,"Black (includes Hispanic)","Delay-adjusted SEER Incidence Rate",10-14,-,-,-,-
Female,"Black (includes Hispanic)","Delay-adjusted SEER Incidence Rate",15-19,-,-,-,-
Female,"Black (includes Hispanic)","Delay-adjusted SEER Incidence Rate",20-24,2.0828,0.2545,1.6141,2.6444
Female,"Black (includes Hispanic)","Delay-adjusted SEER Incidence Rate",25-29,11.5762,0.6110,10.4094,12.8373
Female,"Black (includes Hispanic)","Delay-adjusted SEER Incidence Rate",30-34,33.0958,1.0836,31.0058,35.2890
Female,"Black (includes Hispanic)","Delay-adjusted SEER Incidence Rate",35-39,72.2513,1.6444,69.0640,75.5471
Female,"Black (includes Hispanic)","Delay-adjusted SEER Incidence Rate",40-44,128.2380,2.2185,123.9264,132.6607
Female,"Black (includes Hispanic)","Delay-adjusted SEER Incidence Rate",45-49,184.9630,2.6287,179.8464,190.1876
Female,"Black (includes Hispanic)","Delay-adjusted SEER Incidence Rate",50-54,236.1625,2.9411,230.4329,241.9979
Female,"Black (includes Hispanic)","Delay-adjusted SEER Incidence Rate",55-59,281.4929,3.3420,274.9804,288.1199
Female,"Black (includes Hispanic)","Delay-adjusted SEER Incidence Rate",60-64,339.8991,4.0508,332.0055,347.9321
Female,"Black (includes Hispanic)","Delay-adjusted SEER Incidence Rate",65-69,409.3877,5.0528,399.5437,419.4118
Female,"Black (includes Hispanic)","Delay-adjusted SEER Incidence Rate",70-74,435.8739,6.2280,423.7518,448.2532
Female,"Black (includes Hispanic)","Delay-adjusted SEER Incidence Rate",75-79,447.5328,7.4503,433.0484,462.3759
Female,"Black (includes Hispanic)","Delay-adjusted SEER Incidence Rate",80-84,400.5937,8.4763,384.1510,417.5558
Female,"Black (includes Hispanic)","Delay-adjusted SEER Incidence Rate",85+,343.9840,7.5429,329.3574,359.0899
Female,"Hispanic (any race)","Observed SEER Incidence Rate",<1,-,-,-,-
Female,"Hispanic (any race)","Observed SEER Incidence Rate",1-4,-,-,-,-
Female,"Hispanic (any race)","Observed SEER Incidence Rate",5-9,-,-,-,-
Female,"Hispanic (any race)","Observed SEER Incidence Rate",10-14,-,-,-,-
Female,"Hispanic (any race)","Observed SEER Incidence Rate",15-19,-,-,-,-
Female,"Hispanic (any race)","Observed SEER Incidence Rate",20-24,1.5452,0.1696,1.2307,1.9155
Female,"Hispanic (any race)","Observed SEER Incidence Rate",25-29,8.6805,0.4148,7.8865,9.5328
Female,"Hispanic (any race)","Observed SEER Incidence Rate",30-34,24.8291,0.7147,23.4479,26.2703
Female,"Hispanic (any race)","Observed SEER Incidence Rate",35-39,52.2557,1.0616,50.1955,54.3787
Female,"Hispanic (any race)","Observed SEER Incidence Rate",40-44,103.9154,1.5433,100.9124,106.9850
Female,"Hispanic (any race)","Observed SEER Incidence Rate",45-49,152.7095,1.9556,148.9005,156.5914
Female,"Hispanic (any race)","Observed SEER Incidence Rate",50-54,187.7067,2.3042,183.2173,192.2783
Female,"Hispanic (any race)","Observed SEER Incidence Rate",55-59,218.4381,2.7254,213.1287,223.8463
Female,"Hispanic (any race)","Observed SEER Incidence Rate",60-64,275.3669,3.4815,268.5851,282.2766
Female,"Hispanic (any race)","Observed SEER Incidence Rate",65-69,334.7933,4.4536,326.1206,343.6383
Female,"Hispanic (any race)","Observed SEER Incidence Rate",70-74,344.2335,5.3682,333.7916,354.9190
Female,"Hispanic (any race)","Observed SEER Incidence Rate",75-79,323.2298,6.1249,311.3356,335.4622
Female,"Hispanic (any race)","Observed SEER Incidence Rate",80-84,287.7039,6.8814,274.3733,301.5148
Female,"Hispanic (any race)","Observed SEER Incidence Rate",85+,234.6020,6.1210,222.7570,246.9132
Female,"Hispanic (any race)","Delay-adjusted SEER Incidence Rate",<1,-,-,-,-
Female,"Hispanic (any race)","Delay-adjusted SEER Incidence Rate",1-4,-,-,-,-
Female,"Hispanic (any race)","Delay-adjusted SEER Incidence Rate",5-9,-,-,-,-
Female,"Hispanic (any race)","Delay-adjusted SEER Incidence Rate",10-14,-,-,-,-
Female,"Hispanic (any race)","Delay-adjusted SEER Incidence Rate",15-19,-,-,-,-
Female,"Hispanic (any race)","Delay-adjusted SEER Incidence Rate",20-24,1.5674,0.1721,1.2484,1.9428
Female,"Hispanic (any race)","Delay-adjusted SEER Incidence Rate",25-29,8.7940,0.4202,7.9895,9.6572
Female,"Hispanic (any race)","Delay-adjusted SEER Incidence Rate",30-34,25.1771,0.7249,23.7763,26.6386
Female,"Hispanic (any race)","Delay-adjusted SEER Incidence Rate",35-39,53.0263,1.0775,50.9354,55.1807
Female,"Hispanic (any race)","Delay-adjusted SEER Incidence Rate",40-44,105.4487,1.5664,102.4008,108.5640
Female,"Hispanic (any race)","Delay-adjusted SEER Incidence Rate",45-49,154.9847,1.9852,151.1179,158.9250
Female,"Hispanic (any race)","Delay-adjusted SEER Incidence Rate",50-54,190.1882,2.3353,185.6383,194.8210
Female,"Hispanic (any race)","Delay-adjusted SEER Incidence Rate",55-59,221.2954,2.7617,215.9154,226.7752
Female,"Hispanic (any race)","Delay-adjusted SEER Incidence Rate",60-64,279.0104,3.5284,272.1372,286.0128
Female,"Hispanic (any race)","Delay-adjusted SEER Incidence Rate",65-69,338.7875,4.5079,330.0092,347.7394
Female,"Hispanic (any race)","Delay-adjusted SEER Incidence Rate",70-74,348.9004,5.4429,338.3131,359.7334
Female,"Hispanic (any race)","Delay-adjusted SEER Incidence Rate",75-79,327.1567,6.2007,315.1153,339.5389
Female,"Hispanic (any race)","Delay-adjusted SEER Incidence Rate",80-84,290.9011,6.9593,277.4194,304.8666
Female,"Hispanic (any race)","Delay-adjusted SEER Incidence Rate",85+,237.4397,6.1969,225.4480,249.9016
Female,"Non-Hispanic White","Observed SEER Incidence Rate",<1,-,-,-,-
Female,"Non-Hispanic White","Observed SEER Incidence Rate",1-4,-,-,-,-
Female,"Non-Hispanic White","Observed SEER Incidence Rate",5-9,-,-,-,-
Female,"Non-Hispanic White","Observed SEER Incidence Rate",10-14,-,-,-,-
Female,"Non-Hispanic White","Observed SEER Incidence Rate",15-19,-,-,-,-
Female,"Non-Hispanic White","Observed SEER Incidence Rate",20-24,1.5639,0.1256,1.3274,1.8304
Female,"Non-Hispanic White","Observed SEER Incidence Rate",25-29,10.2469,0.3134,9.6418,10.8801
Female,"Non-Hispanic White","Observed SEER Incidence Rate",30-34,30.2711,0.5469,29.2087,31.3624
Female,"Non-Hispanic White","Observed SEER Incidence Rate",35-39,67.4123,0.8446,65.7670,69.0883
Female,"Non-Hispanic White","Observed SEER Incidence Rate",40-44,140.4563,1.2056,138.1032,142.8395
Female,"Non-Hispanic White","Observed SEER Incidence Rate",45-49,212.4580,1.3931,209.7363,215.2062
Female,"Non-Hispanic White","Observed SEER Incidence Rate",50-54,250.3133,1.4220,247.5338,253.1162
Female,"Non-Hispanic White","Observed SEER Incidence Rate",55-59,280.9999,1.4843,278.0980,283.9244
Female,"Non-Hispanic White","Observed SEER Incidence Rate",60-64,361.1846,1.7628,357.7377,364.6565
Female,"Non-Hispanic White","Observed SEER Incidence Rate",65-69,455.9964,2.1267,451.8376,460.1839
Female,"Non-Hispanic White","Observed SEER Incidence Rate",70-74,509.3644,2.5996,504.2819,514.4855
Female,"Non-Hispanic White","Observed SEER Incidence Rate",75-79,502.6481,3.0242,496.7381,508.6108
Female,"Non-Hispanic White","Observed SEER Incidence Rate",80-84,451.3376,3.2365,445.0162,457.7263
Female,"Non-Hispanic White","Observed SEER Incidence Rate",85+,345.7987,2.4719,340.9707,350.6780
Female,"Non-Hispanic White","Delay-adjusted SEER Incidence Rate",<1,-,-,-,-
Female,"Non-Hispanic White","Delay-adjusted SEER Incidence Rate",1-4,-,-,-,-
Female,"Non-Hispanic White","Delay-adjusted SEER Incidence Rate",5-9,-,-,-,-
Female,"Non-Hispanic White","Delay-adjusted SEER Incidence Rate",10-14,-,-,-,-
Female,"Non-Hispanic White","Delay-adjusted SEER Incidence Rate",15-19,-,-,-,-
Female,"Non-Hispanic White","Delay-adjusted SEER Incidence Rate",20-24,1.5772,0.1267,1.3387,1.8459
Female,"Non-Hispanic White","Delay-adjusted SEER Incidence Rate",25-29,10.3368,0.3162,9.7264,10.9755
Female,"Non-Hispanic White","Delay-adjusted SEER Incidence Rate",30-34,30.5465,0.5519,29.4744,31.6476
Female,"Non-Hispanic White","Delay-adjusted SEER Incidence Rate",35-39,68.0126,0.8521,66.3527,69.7035
Female,"Non-Hispanic White","Delay-adjusted SEER Incidence Rate",40-44,141.6910,1.2162,139.3171,144.0950
Female,"Non-Hispanic White","Delay-adjusted SEER Incidence Rate",45-49,214.3543,1.4055,211.6083,217.1269
Female,"Non-Hispanic White","Delay-adjusted SEER Incidence Rate",50-54,252.5540,1.4348,249.7496,255.3819
Female,"Non-Hispanic White","Delay-adjusted SEER Incidence Rate",55-59,283.5637,1.4979,280.6354,286.5149
Female,"Non-Hispanic White","Delay-adjusted SEER Incidence Rate",60-64,364.4939,1.7790,361.0154,367.9976
Female,"Non-Hispanic White","Delay-adjusted SEER Incidence Rate",65-69,460.3202,2.1469,456.1219,464.5474
Female,"Non-Hispanic White","Delay-adjusted SEER Incidence Rate",70-74,514.2815,2.6248,509.1497,519.4519
Female,"Non-Hispanic White","Delay-adjusted SEER Incidence Rate",75-79,507.4309,3.0530,501.4645,513.4503
Female,"Non-Hispanic White","Delay-adjusted SEER Incidence Rate",80-84,455.5935,3.2671,449.2124,462.0424
Female,"Non-Hispanic White","Delay-adjusted SEER Incidence Rate",85+,349.0430,2.4951,344.1696,353.9680
Female,"White (includes Hispanic)","Observed SEER Incidence Rate",<1,-,-,-,-
Female,"White (includes Hispanic)","Observed SEER Incidence Rate",1-4,-,-,-,-
Female,"White (includes Hispanic)","Observed SEER Incidence Rate",5-9,-,-,-,-
Female,"White (includes Hispanic)","Observed SEER Incidence Rate",10-14,-,-,-,-
Female,"White (includes Hispanic)","Observed SEER Incidence Rate",15-19,0.1307,0.0308,0.0774,0.2065
Female,"White (includes Hispanic)","Observed SEER Incidence Rate",20-24,1.5574,0.1034,1.3613,1.7737
Female,"White (includes Hispanic)","Observed SEER Incidence Rate",25-29,9.8777,0.2584,9.3776,10.3975
Female,"White (includes Hispanic)","Observed SEER Incidence Rate",30-34,28.9124,0.4491,28.0389,29.8063
Female,"White (includes Hispanic)","Observed SEER Incidence Rate",35-39,63.5166,0.6860,62.1791,64.8757
Female,"White (includes Hispanic)","Observed SEER Incidence Rate",40-44,131.0109,0.9849,129.0875,132.9558
Female,"White (includes Hispanic)","Observed SEER Incidence Rate",45-49,199.0902,1.1730,196.7976,201.4028
Female,"White (includes Hispanic)","Observed SEER Incidence Rate",50-54,238.4689,1.2408,236.0432,240.9134
Female,"White (includes Hispanic)","Observed SEER Incidence Rate",55-59,271.2387,1.3294,268.6392,273.8571
Female,"White (includes Hispanic)","Observed SEER Incidence Rate",60-64,349.4610,1.6009,346.3303,352.6130
Female,"White (includes Hispanic)","Observed SEER Incidence Rate",65-69,441.2886,1.9517,437.4716,445.1307
Female,"White (includes Hispanic)","Observed SEER Incidence Rate",70-74,489.5378,2.3849,484.8745,494.2347
Female,"White (includes Hispanic)","Observed SEER Incidence Rate",75-79,480.8246,2.7693,475.4120,486.2835
Female,"White (includes Hispanic)","Observed SEER Incidence Rate",80-84,433.3261,2.9865,427.4922,439.2196
Female,"White (includes Hispanic)","Observed SEER Incidence Rate",85+,335.2745,2.3202,330.7422,339.8534
Female,"White (includes Hispanic)","Delay-adjusted SEER Incidence Rate",<1,-,-,-,-
Female,"White (includes Hispanic)","Delay-adjusted SEER Incidence Rate",1-4,-,-,-,-
